#{"t_start": 1750848148.7122128, "env_id": "None"}
r,l,t
54.234587,13,52.82385
112.786871,26,52.84817
101.137927,23,52.873186
310.515222,67,52.949987
100.423511,23,52.971416
-574.472911,1000,53.808242
176.379734,40,53.840379
221.226266,50,53.88239
241.20822,71,53.938891
317.898584,89,54.009843
282.983246,88,54.090967
145.547026,29,54.136294
150.859608,33,54.179321
167.065029,45,54.244833
302.644924,66,54.32217
174.946632,42,54.370382
139.430419,32,54.400596
161.611634,47,54.468979
455.576542,108,55.799926
592.847046,150,55.913651
153.157694,32,55.939116
71.62509,32,55.965739
139.090972,32,55.992758
276.541795,76,56.06456
119.467306,36,56.097696
260.593163,66,56.157626
388.455068,91,56.239113
83.865064,20,56.258161
227.224463,70,56.32936
126.260544,32,56.358523
92.372546,24,56.380277
172.194896,38,56.414755
-647.164559,1000,57.327116
141.676188,30,57.352948
153.47758,33,57.381427
188.200674,50,57.423296
137.93334,35,57.454313
174.010405,45,57.506537
414.180221,109,58.360698
96.221538,19,58.387362
203.613446,62,58.471354
175.75333,44,58.526937
86.171449,24,58.556347
135.316145,28,58.589814
140.630965,48,58.643742
141.576663,34,58.674877
93.492325,26,58.693388
49.689084,16,58.705837
-453.120432,1000,59.643546
-630.529409,1000,61.341013
88.136566,23,61.359895
250.019296,62,61.410357
365.938852,94,61.485302
39.872525,12,61.494612
62.80396,14,61.50515
69.319398,20,61.520247
-633.932339,1000,62.392521
64.061038,18,62.40786
266.771949,69,62.466133
329.786622,93,62.564656
154.346471,37,62.593451
70.344087,18,62.60762
215.461543,47,62.643171
549.567302,150,62.754582
-800.187532,1000,64.872582
-774.011467,1000,65.793488
76.600305,19,65.810667
480.0245,111,65.920141
267.805536,67,67.306205
126.702619,36,67.346506
61.152838,14,67.358739
152.307007,37,67.395456
102.677186,32,67.438147
103.707025,22,67.456075
173.937887,43,67.495884
797.105739,207,67.693083
361.851675,100,67.799659
90.272736,20,67.825291
453.751945,122,67.938706
107.667099,28,67.961864
516.735934,118,68.054172
330.126735,84,68.126118
52.270954,12,68.135873
148.903283,41,68.169618
326.580596,79,68.234804
200.848772,49,68.278143
304.577596,76,68.342016
-563.533472,1000,70.017607
361.421402,100,70.100196
261.691907,70,70.159444
-683.218017,1000,71.08327
114.631153,35,71.112008
102.164879,29,71.145843
