Step,Reward,TorsoHeight,Terminated,Truncated
0,4.4385211720700894,0.8057581396323177,False,False
1,4.781102133439731,0.7936945020380852,False,False
2,5.161283519460576,0.7359371178336194,False,False
3,3.945085249632042,0.6785493675392694,False,False
4,4.379951738526484,0.6438213801651606,False,False
5,4.357107755601996,0.6576440903215812,False,False
6,5.021774002065649,0.6514935337365599,False,False
7,5.184043998908368,0.620141384612964,False,False
8,5.041998327375806,0.5612476034583433,False,False
9,4.73319461690048,0.5080152701060682,False,False
10,-0.421854870171247,0.4666275933602712,False,False
11,-1.0431902527140473,0.42200144419077235,False,False
12,-0.2696227716821096,0.4791744473928037,False,False
13,5.042456004906755,0.5763240095212927,False,False
14,5.123144700039795,0.6567342413805581,False,False
15,5.017343665633572,0.7049332268055805,False,False
16,5.370266931023927,0.7233967314512406,False,False
17,4.893218780889118,0.7191512158992219,False,False
18,4.334900112030184,0.6961917909136782,False,False
19,5.453035126530101,0.6608684640005312,False,False
20,4.064314807647379,0.6151084790083461,False,False
21,4.4639210977899575,0.588155122798662,False,False
22,4.832626210878917,0.5502652821982729,False,False
23,4.355464016497642,0.5014963570094755,False,False
24,-0.877292445901226,0.4554240791837363,False,False
25,4.467014039041286,0.5099219825581885,False,False
26,4.59849129196653,0.6259198680195704,False,False
27,4.8883224214371275,0.7129552618166247,False,False
28,4.879448783793412,0.7760017291650586,False,False
29,4.055190060553697,0.8135651375422875,False,False
30,4.475337306436691,0.8204433825961683,False,False
31,4.315368586902093,0.8066365632882371,False,False
32,4.042427474810207,0.7958483537998275,False,False
33,4.619289988527412,0.7873514088812422,False,False
34,3.9819898642428058,0.755648420646669,False,False
35,2.842381197902107,0.6912225073031083,False,False
36,4.143110241912051,0.5997181859898335,False,False
37,3.61739650203191,0.5033674256381224,False,False
38,4.229357323569609,0.5018286565072236,False,False
39,5.460883756969677,0.5395278934021968,False,False
40,5.9411295376563436,0.5798167251209971,False,False
41,5.336089137814086,0.6044332180306182,False,False
42,5.562098283627243,0.6263200113653944,False,False
43,5.237515446278593,0.6240590099998269,False,False
44,4.644864573069874,0.593117674666529,False,False
45,4.449518140179674,0.5720442096518712,False,False
46,4.417530864977866,0.5469305218474467,False,False
47,4.602455092398133,0.5216622697698967,False,False
48,4.23045036692733,0.5382948254466826,False,False
49,4.778629977862234,0.5699652425175334,False,False
50,4.057859112584051,0.5928382042097813,False,False
51,4.146886732581185,0.5920269332579721,False,False
52,3.798924621477762,0.5748765008632453,False,False
53,2.7677644986332597,0.5570560462204551,False,False
54,3.3091753348195785,0.5667203332870776,False,False
55,2.63125206424377,0.574952763141205,False,False
56,4.01767676116263,0.5583402612168753,False,False
57,4.740148590616261,0.559469875472118,False,False
58,4.055674245075069,0.556153747994115,False,False
59,4.674054081803349,0.5485749363054595,False,False
60,5.84258863713794,0.5528200488448625,False,False
61,5.334216627563988,0.5471870256858363,False,False
62,5.115148997481591,0.56643644821291,False,False
63,5.743072507204163,0.598633042636223,False,False
64,5.658343547271028,0.6090548087445168,False,False
65,5.334297469109412,0.6128605473243461,False,False
66,5.0644957884391015,0.6295628986137652,False,False
67,5.413824535633304,0.6392972910958961,False,False
68,5.209215588627695,0.6312291977881379,False,False
69,4.498645491827453,0.6558313033781511,False,False
70,3.642872863207662,0.7305157078449427,False,False
71,3.572284351703843,0.7799642072291804,False,False
72,4.069279931060427,0.8024887025896147,False,False
